2025-10-31 12:53:48	../Pipeline/HornedOrangeMonster.mp4	32	5	10	0
2025-10-31 13:38:02	../Pipeline/HornedOrangeMonster.mp4	30	../Pipeline/spinning_HornedOrangeMonster.mp4
2025-10-31 13:40:06	../Pipeline/cropped_HornedOrangeMonster.mp4	45	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4
2025-10-31 13:43:51	../Pipeline/cropped_HornedOrangeMonster.mp4	360	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4
2025-10-31 13:53:06	../Pipeline/cropped_HornedOrangeMonster.mp4	5x rotations	300 frames	zoom:true	circle:true	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4
2025-10-31 14:19:10	../Pipeline/cropped_HornedOrangeMonster.mp4	30s	10x rotations	180 frames generated	60fps	zoom:true	circle:true	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4
2025-11-05 16:50:29	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	30s	3x rotations	900 frames	30fps	zoom:100%→30%	circle:true	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-05 17:05:19	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	240 frames	24fps	zoom:100%→20%	circle:true	canvas:1052x1052	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-05 17:26:54	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	240 frames	24fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:d3ffce	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-05 17:31:32	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	240 frames	24fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:black	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-05 17:45:36	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	2x rotations	240 frames	24fps	zoom:100%→20%	circle:true	canvas:1060x1060	bg:d3ffce	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-06 08:52:18	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	1x rotations	120 frames	12fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:white	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-06 09:02:29	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	300 frames	30fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:white	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-06 09:14:15	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	4x rotations	600 frames	60fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:d3cffe	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-06 09:24:25	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	300 frames	30fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:d3ffce	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
2025-11-06 09:39:49	../Pipeline/spinning_cropped_HornedOrangeMonster.mp4	10s	3x rotations	300 frames	30fps	zoom:100%→20%	circle:true	canvas:1052x1052	bg:00ff00	../Pipeline/spinning_spinning_cropped_HornedOrangeMonster.mp4
